dataset_id,split_id,model_name,ts_utc,ts_target_utc,is_train_split,is_test_split,train_start_utc,train_end_utc,test_start_utc,test_end_utc,y_true_t_plus_1,yhat_t_plus_1,residual_t_plus_1,is_daylight,pv_regime,pool_on,pool_on_lag_1h,pool_switch,temp_bin,flag_grid_exporting,imputed_any,imputed_count,gaplen_demand_h,gaplen_pv_h,gaplen_pool_h,gaplen_temp_h,pv_imputed_interp,pv_imputed_ffill_night_ok,pv_imputed_fallback_zero,pv_imputed_any,flag_demand_imputed,flag_pv_imputed,flag_pool_imputed,flag_temp_imputed,flag_demand_imputed_new,flag_pv_imputed_new,flag_pool_imputed_new,flag_temp_imputed_new,demand_imputed_any,pool_imputed_any,temp_imputed_any,day_of_week,demand_lag_168h,demand_lag_1h,demand_lag_24h,demand_w,hour,hour_cos,hour_sin,is_holiday_it,is_weekend,month,outdoor_temp_c,outdoor_temp_c_lag_168h,outdoor_temp_c_lag_1h,outdoor_temp_c_lag_24h,pool_w,pool_w_lag_168h,pool_w_lag_1h,pool_w_lag_24h,pv_w,pv_w_lag_168h,pv_w_lag_1h,pv_w_lag_24h
A3,roll_04,rf,2026-02-01 23:00:00+00:00,2026-02-02 00:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,543.2085049798055,770.5387940587569,-227.3302890789514,0,night,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,401.8299940770556,1463.8755507140277,565.2245665261389,976.5316384429444,23,0.965925826289068,-0.2588190451025215,0,1,2,2.8022209849722226,4.466046058277779,3.055885293,3.5326573690000003,17.784069908972224,18.2452798105,17.592035829944447,18.31189549144444,0.0,0.0,0.0,0.0
A3,roll_04,rf,2026-02-02 00:00:00+00:00,2026-02-02 01:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,555.9650401257778,525.0096483145758,30.95539181120205,0,night,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.4281183008611,976.5316384429444,564.1097782727777,543.2085049798055,0,1.0,0.0,0,0,2,3.5034166266388893,4.461170374777778,2.8022209849722226,3.8372821672222224,18.0575606245,18.523186238833336,17.784069908972224,18.13831279555556,0.0,0.0,0.0,0.0
A3,roll_04,rf,2026-02-02 01:00:00+00:00,2026-02-02 02:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,559.2648734329445,538.0218497996036,21.24302363334084,0,night,0,0.0,0,1,0,1,1,0,4,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,418.7639288361667,543.2085049798055,533.409867254,555.9650401257778,1,0.9659258262890684,0.2588190451025207,0,0,2,4.069486714166667,4.7878055041388885,3.5034166266388893,3.1821613179166666,17.897532518861112,18.5138968555,18.0575606245,18.042256365194447,0.0,0.0,0.0,0.0
A3,roll_04,rf,2026-02-02 02:00:00+00:00,2026-02-02 03:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,543.3187399811248,517.8829490069894,25.435790974135443,0,night,0,0.0,0,1,0,1,1,0,4,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,391.5396551361389,555.9650401257778,562.5751383565,559.2648734329445,2,0.8660254037844387,0.4999999999999999,0,0,2,3.99586751325,4.783428099083333,4.069486714166667,2.698781669777778,18.17622152708333,21.99558707186111,17.897532518861112,18.15492261975,0.0,0.0,0.0,0.0
A3,roll_04,rf,2026-02-02 03:00:00+00:00,2026-02-02 04:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,1132.2936000000002,904.3039013637962,227.98969863620403,0,night,0,0.0,0,1,0,1,1,0,4,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,371.4401780996666,559.2648734329445,534.4757679513611,543.3187399811248,3,0.7071067811865476,0.7071067811865476,0,0,2,4.568293803064815,4.6246117731666665,3.99586751325,2.4964807060833336,18.00290288951803,18.55526118411112,18.17622152708333,18.078049501583333,0.0,0.0,0.0,0.0
A3,roll_04,rf,2026-02-02 04:00:00+00:00,2026-02-02 05:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,1968.2842857142853,1597.2373849541705,371.0469007601148,0,night,0,0.0,0,1,0,1,1,0,4,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1028.218939733639,543.3187399811248,559.3680544099722,1132.2936000000002,4,0.5000000000000001,0.8660254037844386,0,0,2,4.571875,4.447174962083333,4.568293803064815,2.212842818472222,18.42983425414365,18.50634147902778,18.00290288951803,18.102337799305555,0.0,0.0,0.0,0.0
A3,roll_04,rf,2026-02-02 05:00:00+00:00,2026-02-02 06:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,2066.43476702509,1874.3885139981044,192.0462530269856,0,night,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114.055589798917,1132.2936000000002,555.9197919330833,1968.2842857142853,5,0.2588190451025207,0.9659258262890684,0,0,2,4.407462686567165,4.408384114472223,4.571875,3.237864923555556,18.58532608695652,18.76648325919444,18.42983425414365,18.201222131833333,0.0,0.0,0.0,0.0
A3,roll_04,rf,2026-02-02 06:00:00+00:00,2026-02-02 07:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,1906.8957894736843,1836.1251107411542,70.77067873253009,0,night,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600.770309974528,1968.2842857142853,1160.5435193141388,2066.43476702509,6,6.123233995736766e-17,1.0,0,0,2,4.435714285714286,4.431008716472223,4.407462686567165,3.8328786741666665,18.57810650887573,18.49337982475,18.58532608695652,18.61053815477777,0.0,0.0,0.0,0.0
A3,roll_04,rf,2026-02-02 07:00:00+00:00,2026-02-02 08:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,1804.416,1738.2764719445327,66.13952805546728,1,low,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010.6085535996945,2066.43476702509,691.6709654138334,1906.8957894736843,7,-0.2588190451025206,0.9659258262890684,0,0,2,4.569135802469136,4.217437003583334,4.435714285714286,4.237392116472222,18.479503105590062,18.407470120777777,18.57810650887573,17.88786849641667,12.276470588235291,23.868688164416664,0.0,0.0
A3,roll_04,rf,2026-02-02 08:00:00+00:00,2026-02-02 09:00:00+00:00,0,1,2025-12-08T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-09T00:00:00+00:00,1845.520588235294,1649.326940503155,196.1936477321392,1,low,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665.4681254328334,1906.8957894736843,1089.2109433604444,1804.416,8,-0.4999999999999998,0.8660254037844387,0,0,2,5.26025641025641,4.718276212527778,4.569135802469136,5.01099208125,18.474038461538463,18.409084794722222,18.479503105590062,18.566264010416667,93.15980066445182,232.3755870049445,12.276470588235291,106.04772709316669
